restaurant_id,name
1,Schiller - Baumbach
2,Schmeler Inc
3,Lehner - Olson
4,Fisher Group
5,Hansen - Collins
6,Zieme, Weimann and Jast
7,Lockman - Lebsack
8,Windler - Wintheiser
9,Bruen, Huel and Kulas
10,Kihn, O'Hara and Schaefer
11,Heaney, Schoen and Ryan
12,Fisher, Schiller and Brekke
13,Emmerich - Kreiger
14,Langworth and Sons
15,Hermann and Sons
16,Feeney, Moen and Corkery
17,McKenzie - Champlin
18,Legros, Spencer and Jenkins
19,Franecki Group
20,Ullrich, Wolf and Schuppe
21,Ebert, Streich and Hirthe
22,Schroeder Group
23,Wuckert, Orn and Fadel
24,Medhurst - Von
25,Kassulke - Kunze
26,Rohan LLC
27,Harber - Tremblay
28,Bode - Bode
29,Jaskolski Group
30,Breitenberg - Streich
31,Gerlach Inc
32,Gerhold and Sons
33,Weissnat, Yost and Raynor
34,Mante - Corkery
35,Miller Inc
36,Jacobson, Friesen and Rippin
37,DuBuque Group
38,Thompson, Gislason and Feil
39,Steuber - Abbott
40,Kovacek - Rohan
41,Tremblay - Swaniawski
42,White - Wisoky
43,Bergstrom, Kozey and Welch
44,Abbott, Schmitt and Stamm
45,Walter - O'Reilly
46,Gaylord - Marks
47,Hodkiewicz Group
48,West - Toy
49,Mayert - Rolfson
50,Mayert, Johnson and Marquardt
51,Mante Group
52,Lockman - Corkery
53,Will - Murazik
54,Buckridge - Frami
55,Wolf - McClure
56,Pfeffer, Quigley and Nikolaus
57,Daniel Inc
58,Lebsack and Sons
59,Jenkins - Ebert
60,Jacobi - Cummerata
61,Greenfelder - Hegmann
62,Pagac Group
63,Padberg Inc
64,Mayert Group
65,Russel - Schamberger
66,Bednar, Kozey and Flatley
67,Bruen LLC
68,Hermann, Altenwerth and Skiles
69,Bode, Dicki and Aufderhar
70,Cronin - Kshlerin
71,Ziemann - McKenzie
72,Terry and Sons
73,Walsh, Kozey and Brakus
74,Stracke LLC
75,Windler - Funk
76,Schmidt and Sons
77,Weber Group
78,Marquardt, Hayes and Ebert
79,Tremblay - Kshlerin
80,Lebsack, Boyer and Satterfield
81,Frami - Dibbert
82,Fisher - Towne
83,Abbott, Balistreri and Armstrong
84,Lueilwitz, Wisozk and Stanton
85,Terry and Sons
86,Heaney, Greenfelder and Maggio
87,Watsica and Sons
88,Hegmann, O'Conner and Purdy
89,Paucek LLC
90,Pfeffer - Rosenbaum
91,Borer, Muller and Christiansen
92,Huels Group
93,Robel Inc
94,Konopelski Group
95,Predovic Inc
96,Hettinger - O'Conner
97,Denesik Inc
98,Kub Group
99,Upton - Lang
100,Marquardt, Hagenes and Kemmer
